Name,Gender Guesser,Genderizer,Final
John Cromwell Bell,male,male,male
Millard Elwood Gladfelter,male,male,male
Nelson Glueck,male,male,male
George Bogdan Kistiakowski,male,unknown,unknown
John William Knutson,male,male,male
John William Mauchly,male,male,male
John Jay Mccloy,male,male,male
Jonathan Evans Rhoads,male,male,male
Lauriston Sale Taylor,unknown,unknown,unknown
Jacob Viner,male,male,male
Eric Arthur Walker,male,male,male
Robert Stevenson Aitken,male,male,male
Jasper Yeates Brinton,male,male,male
Ralph Connor,male,male,male
Althea Hallowell Kratz Hottel,female,female,female
Dana Greenleaf How,female,unknown,unknown
Joseph Victor Klauder,male,male,male
David Leo Lawrence,male,male,male
Esther Lazarus,female,female,female
Hadleigh Marsh,unknown,unknown,unknown
Robert Franklin Mehl,male,male,male
Karl Friedrich Meyer,male,male,male
Isaac Warner Roberts,male,male,male
Virginia Pollard Robinson,female,female,female
Richard Edwin Shope,male,male,male
William Christopher Stadie,male,male,male
Marian Anderson,male,male,male
Willy Brandt,male,unknown,unknown
Arthur Frank Burns,male,male,male
Ralph Erskine Cleland,male,male,male
Robert Dechert,male,male,male
Harold Wells Gilbert,male,male,male
Robert Francis Goheen,male,male,male
Arthur Lehman Goodhart,male,male,male
George Morris Piersol,male,unknown,unknown
Sigmund Skard,male,male,male
Courtney Craig Smith,mostly_female,unknown,unknown
Edwin Bucher Williams,male,male,male
William Joseph Brennan Jr.,male,male,male
Arthur Gardiner Coons,male,male,male
Cleo Frank Craig,mostly_female,unknown,unknown
John Anthony Diemand,male,male,male
Henry Richard Dietrich,male,male,male
Bernard Feustman Gimbel,male,male,male
Frank Cyril James,male,male,male
Charles Alvin Jones,male,male,male
Clarence Mahlon Kline,male,male,male
George Michael Leader,male,unknown,unknown
Sydney Errington Martin,mostly_male,unknown,unknown
William McChesney Martin Jr.,male,male,male
George Meany,male,unknown,unknown
Mabel Newcomer,female,female,female
Joseph Russell Smith,male,male,male
Lewis Lichtenstein Strauss,male,male,male
Stanley Ferdinand Teele,male,male,male
Alvin Duke Chandler,male,male,male
Thomas Sovereign Gates Jr.,male,male,male
Alfred Whitney Griswold,male,male,male
Mary Gibson Henry,mostly_female,unknown,unknown
Thomas Malcolm Knox,male,male,male
Simon Smith Kuznets,male,male,male
Henry Cabot Lodge Jr.,male,male,male
Kenjiro Matsumoto,male,male,male
Nathan Marsh Pusey,male,male,male
Alic Halford Smith,unknown,unknown,unknown
Allen Michener Stearne,male,male,male
Otto Struve,male,male,male
Axel Hugo Theorell,male,male,male
Earl Warren,male,male,male
Walter Gordon Whitman,male,male,male
Caleb Canby Balderston,male,male,male
Catherine Drinker Bowen,female,female,female
Leroy Edgar Chapman,male,male,male
Charles Wendell David,male,male,male
Oveta Culp Hobby,unknown,unknown,unknown
George Howe,male,unknown,unknown
Karl Spencer Lashley,male,male,male
Franklin David Murphy,male,male,male
William Bradford Shockley,male,male,male
Dag HammarskjØLd,male,male,male
Alfred Bennett Harbage,male,male,male
Robert Henry Ivy,male,male,male
Mervin Joe Kelly,male,male,male
Grayson Louis Kirk,male,male,male
Willis Eugene Lamb Jr.,male,male,male
Joseph Folwell Scull Jr.,male,male,male
Charles Edward Wyzanski Jr.,male,male,male
James Burns Amberson,male,male,male
William Blum,male,male,male
Van Wyck Brooks,mostly_male,unknown,unknown
Herbert Kurtz Cooper,male,male,male
Milton Stover Eisenhower,male,male,male
Edith Hamilton,female,female,female
Gaylord Probasco Harnwell,male,male,male
Harold Hillenbrand,male,male,male
Edward Hopkinson Jr.,male,male,male
Harry Elmer Humphreys Jr.,male,male,male
Thomas Bayard Mccabe,male,male,male
Robert Thompson Mccracken,male,male,male
Thomas Parran,male,male,male
Elizabeth Kerr Porter,female,female,female
Isidor Schwaner Ravdin,male,male,male
Harold Vincent Smith,male,male,male
Williams Biddle Cadwalader,unknown,male,unknown
Frederick Sumner Mckay,male,male,male
Lester Weldon Nelson,male,male,male
Franklin Haines Price,male,male,male
David Sarnoff,male,male,male
Boyd Lee Spahr,male,male,male
William Carlos Williams,male,male,male
Henry Merritt Wriston,male,male,male
Elizabeth Cecelia Berrang,female,female,female
Anne Bezanson,female,unknown,unknown
Robin Carl Buerki,mostly_male,unknown,unknown
Hugh Latimer Dryden,male,male,male
John Sydney Fine,male,male,male
William Howard Fineshriber,male,male,male
Albert Anthony Giesecke,male,male,male
James Rhyne Killian Jr.,male,male,male
Joseph Pennell,male,male,male
Conyers Read,unknown,unknown,unknown
Alfred Hector Williams,male,male,male
Thomas Knight Finletter,male,male,male
Walter Simonds Franklin,male,male,male
Paul Gray Hoffman,male,male,male
Edwin Roulette Keedy,male,male,male
Ernest Minor Patterson,male,male,male
Margie Alice Smith,female,female,female
Paul-Henri Spaak,unknown,unknown,unknown
John Von Neumann,male,male,male
Detlev Wulf Bronk,male,male,male
Ralph Johnson Bunche,male,male,male
John Foster Dulles,male,male,male
William Wilcox Edel,male,male,male
Thomas Ignatius Parkinson,male,male,male
Alfred Henry Sturtevant,male,male,male
Sarah Gibson Blanding,female,female,female
James Francis Byrnes,male,male,male
James Byron Drew,male,male,male
George Keith Funston,male,unknown,unknown
Walter Woodburn Hyde,male,male,male
William Bomberger Linn,male,male,male
Esmond Ray Long,male,male,male
John Harrison Minnick,male,male,male
Merle Middleton Odgers,mostly_male,unknown,unknown
Harold Edward Stassen,male,male,male
Roger Adams,male,male,male
Chester Irving Barnard,male,male,male
Revelle Wilson Brown,unknown,unknown,unknown
Paul Foster Clark,male,male,male
James Creese,male,male,male
James Henderson Duff,male,male,male
Dwight David Eisenhower,male,male,male
Roland Grubb Kent,male,male,male
Charles Summerfield Redding,male,male,male
Lessing Julius Rosenwald,unknown,unknown,unknown
Henry Harley Arnold,male,male,male
Edwin Garrigues Boring,male,male,male
John Dewey,male,male,male
Robert Herndon Fife,male,male,male
Geoffrey Francis Archbishop of Canterbury Fisher,male,male,male
Henry Herbert Goddard,male,male,male
Wolfgang Kohler,male,male,male
William Shaneline Middleton,male,male,male
Julius Robert Oppenheimer,male,male,male
Quo Tai-Chi,unknown,unknown,unknown
Lewis Madison Terman,male,male,male
Henry St. George Tucker,male,male,male
George Woodward,male,unknown,unknown
Efrem Zimbalist,male,male,male
George Frederick Zook,male,unknown,unknown
Eldridge Lyon Eliason,male,male,male
Alexander Fleming,male,male,male
Virginia Crocheron Gildersleeve,female,female,female
John Flagg Gummere,male,male,male
Fiske Kimball,unknown,unknown,unknown
Edward Felix Kloman,male,male,male
Abraham Aaron Neuman,male,male,male
Samuel Torrey Orton,male,male,male
